IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate,Rand
0,4,2016,July,31,26,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,E               ,0,No Deposit     ,       NULL,428,0,Transient,118,0,0,Check-Out,2016-07-27,4619
0,364,2016,October,42,12,1,4,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,3,No Deposit     ,       NULL,223,0,Transient-Party,66,0,0,Check-Out,2016-10-17,4871
0,1,2016,April,17,20,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,1,A               ,A               ,0,No Deposit     ,       NULL,12,0,Transient,42,0,0,Check-Out,2016-04-21,4885
0,0,2016,March,12,14,1,3,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,2,A               ,A               ,0,No Deposit     ,       NULL,47,0,Transient,30,0,0,Check-Out,2016-03-18,5884
0,6,2016,May,20,11,0,0,2,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,E               ,I               ,0,No Deposit     ,       NULL,110,0,Transient,0,0,0,Check-Out,2016-05-11,6513
0,0,2016,February,9,25,0,0,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,0,A               ,E               ,0,No Deposit     ,       NULL,287,0,Transient,0,0,0,Check-Out,2016-02-25,7016
0,37,2015,November,46,8,2,5,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,185,281,0,Transient-Party,36,0,0,Check-Out,2015-11-15,7045
0,3,2017,February,5,2,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,159,0,Transient,35,0,1,Check-Out,2017-02-04,7224
1,9,2017,April,16,19,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,269,0,Transient,45,0,0,Canceled,2017-04-19,7283
0,30,2016,September,40,28,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,6,A               ,A               ,1,No Deposit     ,       NULL,380,0,Transient,65,0,0,Check-Out,2016-09-29,7583
0,23,2017,March,13,29,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,2,A               ,A               ,0,No Deposit     ,       NULL,254,0,Transient,35,0,0,Check-Out,2017-03-31,7944
0,7,2016,March,10,1,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,1,1,0,A               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,40,0,0,Check-Out,2016-03-03,8143
1,37,2015,November,46,11,0,4,2,1,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,281,       NULL,0,Contract,63,0,2,Canceled,2015-11-05,8305
0,39,2016,October,44,23,1,0,2,0,0,BB       ,GBR,Offline TA/TO,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,8,       NULL,0,Transient,47,0,0,Check-Out,2016-10-24,8863
1,259,2015,September,38,17,0,3,2,0,0,BB       ,GBR,Groups,Corporate,0,1,0,A               ,A               ,0,Non Refund     ,       NULL,223,0,Transient,40.05,0,0,Canceled,2015-01-21,9652
0,4,2016,July,31,26,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,C               ,0,No Deposit     ,       NULL,428,0,Transient,118,0,0,Check-Out,2016-07-27,10404
1,3,2015,July,29,16,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,1,1,3,A               ,A               ,3,No Deposit     ,       NULL,77,0,Transient,114,0,0,Canceled,2015-07-15,10482
0,386,2016,October,43,20,1,3,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,2,No Deposit     ,       NULL,       NULL,0,Transient-Party,49,0,0,Check-Out,2016-10-24,10611
0,1,2017,March,12,21,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,0,2,9,A               ,D               ,0,No Deposit     ,       NULL,86,0,Transient,45,0,0,Check-Out,2017-03-23,11110
1,27,2017,May,20,18,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,331,0,Transient,69,0,0,Canceled,2017-05-02,11417
0,15,2015,November,47,21,0,1,2,1,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,G               ,1,No Deposit     ,       NULL,342,0,Transient-Party,44,0,0,Check-Out,2015-11-22,11789
0,8,2016,October,41,6,1,3,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,405,0,Transient-Party,58,1,0,Check-Out,2016-10-10,11797
0,70,2017,February,8,22,0,4,3,0,0,BB       ,GBR,Corporate,Corporate,0,0,0,A               ,C               ,3,No Deposit     ,       NULL,405,0,Transient-Party,58,0,0,Check-Out,2017-02-26,11877
1,76,2016,November,49,29,0,2,2,0,0,BB       ,PRT,Groups,Corporate,0,0,0,E               ,E               ,0,No Deposit     ,       NULL,       NULL,0,Transient-Party,50,0,0,Canceled,2016-11-17,12200
0,15,2015,November,47,21,0,1,2,2,0,BB       ,PRT,Corporate,Corporate,0,0,0,C               ,H               ,3,No Deposit     ,       NULL,342,0,Transient-Party,56,0,0,Check-Out,2015-11-22,12401
0,4,2017,May,19,8,1,0,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,5,A               ,D               ,0,No Deposit     ,       NULL,62,0,Transient,45,0,0,Check-Out,2017-05-09,12599
0,0,2016,April,17,18,1,0,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,1,A               ,D               ,0,No Deposit     ,       NULL,135,0,Transient,42,1,0,Check-Out,2016-04-19,12727
0,15,2016,December,52,21,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,6,A               ,D               ,1,No Deposit     ,       NULL,154,0,Transient,27,0,0,Check-Out,2016-12-22,12866
0,0,2016,April,18,26,0,2,1,0,0,BB       ,NULL,Corporate,Corporate,0,0,3,A               ,D               ,0,No Deposit     ,       NULL,103,0,Transient,42,0,0,Check-Out,2016-04-28,12894
1,259,2015,September,38,17,0,3,1,0,0,BB       ,GBR,Groups,Corporate,0,1,0,A               ,A               ,0,Non Refund     ,       NULL,223,0,Transient,33.3,0,0,Canceled,2015-01-21,12944
0,5,2016,April,15,5,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,0,1,4,A               ,D               ,0,No Deposit     ,       NULL,94,0,Transient,39,0,0,Check-Out,2016-04-07,12965
0,11,2017,May,19,8,1,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,1,13,A               ,E               ,0,No Deposit     ,       NULL,292,0,Transient,48.5,1,1,Check-Out,2017-05-10,12981
0,17,2017,February,6,6,1,0,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,490,0,Transient,36,0,0,Check-Out,2017-02-07,13201
1,103,2017,March,13,27,1,1,2,0,0,BB       ,PRT,Groups,Corporate,0,0,0,D               ,D               ,0,Non Refund     ,495,       NULL,0,Transient,65,0,0,Canceled,2016-12-23,13320
0,8,2016,October,41,6,1,3,2,0,0,BB       ,ESP,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,405,0,Transient-Party,50,0,0,Check-Out,2016-10-10,13338
0,1,2016,October,42,15,2,5,2,0,0,HB       ,AUT,Groups,Corporate,0,0,0,E               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient,54.43,0,1,Check-Out,2016-10-22,13598
0,0,2016,May,23,30,1,3,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,47,0,Transient,57,0,0,Check-Out,2016-06-03,14222
0,287,2015,October,42,15,1,3,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,223,0,Transient-Party,52.5,1,0,Check-Out,2015-10-19,14273
0,0,2015,December,50,10,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,E               ,0,No Deposit     ,       NULL,144,0,Transient,25,0,0,Check-Out,2015-12-11,14695
0,7,2017,March,9,2,1,3,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,D               ,D               ,0,No Deposit     ,       NULL,223,0,Transient-Party,47,0,0,Check-Out,2017-03-06,14772
0,101,2016,October,43,20,1,3,1,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,       NULL,0,Transient-Party,40,0,0,Check-Out,2016-10-24,15047
0,7,2015,October,41,9,0,2,2,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,C               ,0,No Deposit     ,       NULL,       NULL,0,Contract,50,0,1,Check-Out,2015-10-11,15062
0,24,2015,December,52,21,1,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,4,A               ,D               ,0,No Deposit     ,       NULL,113,0,Transient,35,0,0,Check-Out,2015-12-23,16053
0,21,2017,February,8,22,0,4,1,0,0,BB       ,GBR,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,405,0,Transient-Party,36,0,0,Check-Out,2017-02-26,16457
1,13,2016,April,18,25,1,2,2,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,E               ,E               ,0,No Deposit     ,       NULL,110,0,Transient,85,0,0,Canceled,2016-04-19,16681
0,0,2017,January,5,30,1,0,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,510,       NULL,0,Transient,40,0,0,Check-Out,2017-01-31,17067
0,0,2017,February,8,20,1,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,1,A               ,A               ,0,No Deposit     ,       NULL,12,0,Transient,35,0,0,Check-Out,2017-02-22,17290
0,7,2017,March,9,2,0,3,2,0,0,BB       ,NLD,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,223,0,Transient-Party,37,0,0,Check-Out,2017-03-05,17875
0,1,2016,December,51,14,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,3,A               ,D               ,1,No Deposit     ,47,       NULL,0,Transient,30,0,0,Check-Out,2016-12-15,17880
0,386,2016,October,43,20,1,3,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,2,No Deposit     ,       NULL,       NULL,0,Transient-Party,49,0,0,Check-Out,2016-10-24,18485
0,0,2017,January,1,3,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,154,0,Transient,35,0,0,Check-Out,2017-01-05,18589
0,0,2017,January,3,16,1,1,1,0,0,BB       ,NULL,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,154,0,Transient,35,0,0,Check-Out,2017-01-18,18740
0,2,2017,March,13,30,0,1,1,0,0,BB       ,NULL,Corporate,Corporate,0,0,3,A               ,A               ,0,No Deposit     ,       NULL,135,0,Transient,35,1,0,Check-Out,2017-03-31,19217
0,13,2017,January,4,24,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,1,1,7,A               ,D               ,0,No Deposit     ,       NULL,86,0,Transient,35,0,0,Check-Out,2017-01-26,19437
0,2,2016,June,23,1,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,169,0,Transient,65,0,0,Check-Out,2016-06-02,19584
0,37,2015,August,34,16,1,0,1,0,0,BB       ,PRT,Groups,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,307,0,Transient,172,0,0,Check-Out,2015-08-17,20615
1,239,2017,April,16,22,2,5,3,0,0,FB       ,PRT,Groups,Corporate,0,0,0,C               ,C               ,0,No Deposit     ,       NULL,       NULL,0,Transient-Party,158,0,0,Canceled,2017-03-30,20822
0,6,2017,February,5,1,0,2,1,0,0,SC       ,NULL,Corporate,Corporate,0,0,1,A               ,I               ,0,No Deposit     ,       NULL,356,0,Transient-Party,0,0,1,Check-Out,2017-02-03,21483
0,7,2017,March,9,2,0,3,2,0,0,BB       ,CZE,Groups,Corporate,0,0,0,A               ,D               ,1,No Deposit     ,       NULL,223,0,Transient-Party,37,0,0,Check-Out,2017-03-05,21826
0,23,2017,January,4,25,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,331,0,Transient,35,0,0,Check-Out,2017-01-26,21953
0,22,2017,February,7,17,2,2,2,0,0,BB       ,GBR,Corporate,Corporate,0,0,0,D               ,D               ,0,No Deposit     ,       NULL,498,0,Transient-Party,48,0,0,Check-Out,2017-02-21,22003
1,40,2015,November,46,11,0,4,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,281,       NULL,0,Transient-Party,40,0,0,Canceled,2015-10-10,22004
0,4,2015,December,49,1,0,2,2,0,0,BB       ,PRT,Corporate,Corporate,1,0,1,A               ,D               ,1,No Deposit     ,       NULL,       NULL,0,Transient,38,0,0,Check-Out,2015-12-03,22076
0,5,2016,January,5,26,0,3,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,38,0,0,Check-Out,2016-01-29,22730
0,364,2016,October,42,12,1,4,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,223,0,Transient-Party,66,0,0,Check-Out,2016-10-17,22780
0,7,2017,March,9,2,0,3,1,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,2,No Deposit     ,       NULL,223,0,Transient-Party,29,0,0,Check-Out,2017-03-05,23478
0,7,2017,March,9,2,1,3,1,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,223,0,Transient-Party,29,0,0,Check-Out,2017-03-06,23771
0,285,2015,October,42,13,1,5,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,G               ,1,No Deposit     ,       NULL,223,0,Transient-Party,43.08,1,0,Check-Out,2015-10-19,24265
0,35,2016,June,27,29,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,4,A               ,A               ,0,No Deposit     ,       NULL,154,0,Transient,58,0,0,Check-Out,2016-06-30,25150
0,0,2016,February,6,4,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,39,0,0,Check-Out,2016-02-05,25283
0,3,2016,January,3,15,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,1,A               ,D               ,0,No Deposit     ,       NULL,291,0,Transient,30,0,0,Check-Out,2016-01-16,25475
0,20,2016,September,40,30,0,2,2,0,0,BB       ,PRT,Direct,Corporate,0,0,4,F               ,F               ,1,No Deposit     ,       NULL,154,0,Transient,129.3,1,0,Check-Out,2016-10-02,25487
0,0,2017,April,14,3,1,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,195,0,Transient,45,0,0,Check-Out,2017-04-05,25526
0,0,2017,March,13,28,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,7,A               ,A               ,0,No Deposit     ,       NULL,290,0,Transient,35,0,0,Check-Out,2017-03-29,25585
0,17,2017,January,4,28,0,1,2,0,0,BB       ,PRT,Groups,Corporate,0,0,0,A               ,C               ,0,Non Refund     ,       NULL,504,0,Transient-Party,36,0,0,Check-Out,2017-01-29,25877
0,386,2016,October,43,20,1,3,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient-Party,49,0,0,Check-Out,2016-10-24,25882
0,0,2016,December,52,20,0,2,1,0,0,FB       ,MAR,Corporate,Corporate,0,0,0,A               ,A               ,2,No Deposit     ,       NULL,59,0,Transient,68,0,0,Check-Out,2016-12-22,26429
0,7,2016,January,4,18,1,3,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,94,0,Transient,27,0,0,Check-Out,2016-01-22,26468
0,5,2016,February,9,24,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,3,A               ,A               ,0,No Deposit     ,       NULL,154,0,Transient,25,0,1,Check-Out,2016-02-25,26570
0,5,2017,March,9,1,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,1,0,2,A               ,D               ,0,No Deposit     ,       NULL,331,0,Transient,38,0,0,Check-Out,2017-03-02,26721
0,364,2016,October,42,12,1,4,1,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,223,0,Transient-Party,66,1,0,Check-Out,2016-10-17,26983
0,0,2015,November,48,26,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,38,0,1,Check-Out,2015-11-27,26994
0,17,2017,February,8,21,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,1,10,E               ,E               ,0,No Deposit     ,       NULL,292,0,Transient,58,1,1,Check-Out,2017-02-22,27016
0,386,2016,October,43,20,0,3,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,D               ,1,No Deposit     ,       NULL,       NULL,0,Transient-Party,49,0,0,Check-Out,2016-10-23,27274
0,36,2016,October,43,20,0,3,2,0,0,BB       ,GBR,Groups,Corporate,0,0,0,A               ,I               ,2,No Deposit     ,       NULL,       NULL,0,Transient-Party,55,0,0,Check-Out,2016-10-23,27518
0,12,2017,March,11,18,0,1,1,0,0,BB       ,GBR,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,477,0,Transient-Party,60,0,0,Check-Out,2017-03-19,27553
0,4,2017,April,17,24,1,0,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,1,No Deposit     ,       NULL,437,0,Transient,72,1,0,Check-Out,2017-04-25,27712
1,70,2017,February,8,22,0,4,2,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,405,0,Transient-Party,42,0,0,Canceled,2016-12-14,27834
0,33,2016,October,42,13,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,F               ,0,No Deposit     ,       NULL,444,0,Transient-Party,40,0,0,Check-Out,2016-10-14,27885
0,1,2017,June,22,1,0,2,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,384,0,Transient-Party,75,0,0,Check-Out,2017-06-03,28339
1,106,2016,March,13,24,1,3,2,0,0,FB       ,PRT,Groups,Direct,0,0,0,A               ,A               ,0,Non Refund     ,68,       NULL,0,Transient,84,0,0,Canceled,2016-01-22,361
0,274,2017,August,33,16,2,4,2,1,0,HB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit     ,250,       NULL,0,Transient,224.1,1,3,Check-Out,2017-08-22,459
0,137,2015,July,28,11,2,5,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit     ,250,       NULL,0,Transient,130.9,1,0,Check-Out,2015-07-18,567
0,2,2017,August,35,31,0,3,2,0,0,Undefined,PRT,Direct,Direct,0,0,0,A               ,D               ,2,No Deposit     ,250,       NULL,0,Transient,245.33,0,2,Check-Out,2017-09-03,1069
1,113,2016,January,1,2,0,1,2,0,0,HB       ,PRT,Groups,Direct,0,0,0,A               ,A               ,0,Non Refund     ,305,       NULL,0,Transient,72,0,0,Canceled,2015-11-16,1189
0,12,2017,April,17,25,0,3,2,0,0,Undefined,PRT,Direct,Direct,0,0,0,E               ,E               ,0,No Deposit     ,250,       NULL,0,Transient,196,1,1,Check-Out,2017-04-28,1408
0,229,2017,August,31,4,2,5,2,1,0,BB       ,GBR,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit     ,250,       NULL,0,Transient,169.28,0,0,Check-Out,2017-08-11,1446
0,80,2015,December,50,6,2,4,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,D               ,0,No Deposit     ,250,       NULL,0,Transient,27.9,0,0,Check-Out,2015-12-12,1455
0,0,2015,December,53,28,1,0,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,45,0,1,Check-Out,2015-12-29,1722
1,92,2016,May,21,18,0,2,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit     ,250,       NULL,0,Transient,67.2,0,0,Canceled,2016-04-05,2017
0,1,2016,August,33,11,0,1,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,250,       NULL,0,Transient,149,0,0,Check-Out,2016-08-12,2176
0,212,2016,August,35,24,0,4,2,0,0,BB       ,ESP,Direct,Direct,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,395,0,Transient,119,0,2,Check-Out,2016-08-28,2315
0,168,2016,March,14,30,1,4,1,0,0,BB       ,GBR,Groups,Direct,0,0,0,A               ,A               ,2,No Deposit     ,       NULL,223,0,Transient,60,0,0,Check-Out,2016-04-04,2335
0,96,2016,June,25,16,2,4,2,0,0,Undefined,PRT,Direct,Direct,0,0,0,E               ,E               ,2,No Deposit     ,250,       NULL,0,Transient,193.9,1,0,Check-Out,2016-06-22,2378
0,16,2015,July,28,9,1,3,1,0,0,BB       ,RUS,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,250,       NULL,0,Transient,98,0,1,Check-Out,2015-07-13,2480
0,0,2016,February,7,8,1,0,2,0,0,BB       ,NULL,Direct,Direct,0,0,0,E               ,E               ,0,No Deposit     ,       NULL,       NULL,0,Transient,65,0,0,Check-Out,2016-02-09,2588
0,0,2015,July,29,17,0,1,2,0,0,BB       ,ESP,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,       NULL,       NULL,0,Transient,179,0,0,Check-Out,2015-07-18,2602
0,24,2016,March,13,25,0,2,2,0,0,HB       ,PRT,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,142,0,1,Check-Out,2016-03-27,2669
0,5,2017,January,2,9,1,3,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,D               ,0,No Deposit     ,250,       NULL,0,Transient,39,0,0,Check-Out,2017-01-13,2852
0,48,2016,May,20,11,0,1,2,0,0,HB       ,FRA,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient-Party,95,1,0,Check-Out,2016-05-12,3059
1,69,2017,July,30,28,2,3,2,0,0,HB       ,ESP,Direct,Direct,0,0,0,D               ,D               ,1,No Deposit     ,250,       NULL,0,Transient,257,0,0,Canceled,2017-06-10,3357
0,0,2016,August,35,26,0,1,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,E               ,E               ,0,No Deposit     ,       NULL,       NULL,0,Transient,169,0,0,Check-Out,2016-08-27,3409
0,100,2016,October,41,6,1,3,2,0,0,BB       ,USA,Direct,Direct,0,0,0,G               ,G               ,0,No Deposit     ,250,       NULL,0,Transient,158.1,1,0,Check-Out,2016-10-10,3746
1,20,2016,September,40,25,2,2,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit     ,250,       NULL,0,Transient,162.1,0,0,Canceled,2016-09-05,3747
0,40,2017,January,3,16,1,1,1,0,0,Undefined,PRT,Groups,Direct,0,0,0,A               ,E               ,1,No Deposit     ,       NULL,       NULL,0,Transient-Party,55,0,0,Check-Out,2017-01-18,3967
0,23,2016,March,10,4,0,2,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,60,0,0,Check-Out,2016-03-06,4171
0,61,2016,December,53,29,0,3,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,154,1,1,Check-Out,2017-01-01,4401
0,0,2016,March,12,15,0,1,2,0,0,BB       ,NULL,Direct,Direct,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,       NULL,0,Transient,40,0,0,Check-Out,2016-03-16,4544
0,2,2015,October,42,12,1,1,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,250,       NULL,0,Transient,56,0,0,Check-Out,2015-10-14,4586
1,131,2016,December,53,28,2,8,1,0,0,Undefined,PRT,Direct,Direct,0,0,0,E               ,E               ,0,No Deposit     ,       NULL,       NULL,0,Transient,96,0,2,Canceled,2016-08-23,4769
0,0,2016,October,44,25,0,1,1,0,0,BB       ,NOR,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient,61,0,0,Check-Out,2016-10-26,5203
0,0,2017,June,23,10,0,1,2,0,0,BB       ,FRA,Direct,Direct,0,0,0,A               ,C               ,0,No Deposit     ,       NULL,       NULL,0,Transient,135,0,0,Check-Out,2017-06-11,5243
