IsCanceled,LeadTime,Meal,Country,MarketSegment,DistributionChannel,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,CustomerType,RequiredCarParkingSpaces
0,143,BB       ,IRL,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,3,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,2,BB       ,GBR,Corporate,Corporate,D               ,D               ,0,No Deposit     ,Transient-Party,0
0,96,HB       ,DEU,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,296,BB       ,GBR,Offline TA/TO,TA/TO,A               ,C               ,1,No Deposit     ,Contract,0
0,7,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,19,BB       ,ESP,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,40,Undefined,PRT,Groups,Direct,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,56,BB       ,GBR,Direct,Direct,E               ,E               ,0,No Deposit     ,Transient,1
0,38,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,22,Undefined,ESP,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,16,BB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,1
0,45,HB       ,PRT,Direct,Direct,D               ,D               ,1,No Deposit     ,Transient-Party,0
0,72,HB       ,GBR,Offline TA/TO,TA/TO,A               ,E               ,1,No Deposit     ,Contract,0
0,128,HB       ,GBR,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Group,0
0,33,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,128,BB       ,GBR,Direct,Direct,F               ,F               ,0,No Deposit     ,Transient,1
1,259,BB       ,GBR,Groups,Corporate,A               ,A               ,0,Non Refund     ,Transient,0
0,11,BB       ,FRA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,5,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,234,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
0,12,BB       ,GBR,Corporate,Corporate,A               ,A               ,0,No Deposit     ,Transient-Party,0
1,21,HB       ,POL,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,30,BB       ,PRT,Corporate,Corporate,A               ,A               ,2,No Deposit     ,Transient-Party,0
1,74,BB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,30,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
0,111,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,51,BB       ,USA,Online TA,TA/TO,H               ,H               ,1,No Deposit     ,Transient,1
0,1,BB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,1
1,160,BB       ,PRT,Groups,TA/TO,C               ,C               ,0,No Deposit     ,Transient-Party,0
0,85,HB       ,FRA,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
1,17,HB       ,ESP,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,18,BB       ,PRT,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient,0
0,194,HB       ,ESP,Online TA,TA/TO,D               ,D               ,3,No Deposit     ,Transient,0
1,289,FB       ,PRT,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,19,BB       ,BRA,Online TA,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
1,279,HB       ,IRL,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,9,BB       ,GBR,Groups,Corporate,E               ,E               ,0,No Deposit     ,Transient-Party,0
1,240,HB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,132,BB       ,AUT,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,1
0,222,HB       ,FRA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,80,HB       ,FRA,Online TA,TA/TO,E               ,E               ,2,No Deposit     ,Transient,1
1,15,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,87,BB       ,BRA,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
0,152,BB       ,GBR,Groups,TA/TO,A               ,C               ,2,No Deposit     ,Transient-Party,0
0,114,HB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,12,BB       ,PRT,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,1
0,7,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,23,BB       ,PRT,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient,0
0,110,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
1,11,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,71,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,43,BB       ,IRL,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,542,HB       ,GBR,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,30,BB       ,FRA,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,12,HB       ,GBR,Online TA,TA/TO,A               ,A               ,1,No Deposit     ,Transient,0
1,237,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,89,BB       ,PRT,Online TA,TA/TO,D               ,F               ,0,No Deposit     ,Transient,0
0,236,BB       ,GBR,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,1,BB       ,PRT,Corporate,Corporate,D               ,D               ,1,No Deposit     ,Transient,1
1,159,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,261,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
1,56,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,191,HB       ,GBR,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,78,BB       ,PRT,Corporate,Corporate,A               ,E               ,0,No Deposit     ,Transient-Party,0
0,0,BB       ,NULL,Corporate,Corporate,A               ,E               ,0,No Deposit     ,Transient,0
0,18,BB       ,GBR,Direct,Corporate,A               ,A               ,0,No Deposit     ,Transient,0
0,261,HB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
1,106,BB       ,BRA,Online TA,TA/TO,A               ,A               ,2,No Deposit     ,Transient,0
1,78,FB       ,ESP,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,117,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
0,65,BB       ,LTU,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient-Party,1
1,343,BB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
1,106,BB       ,PRT,Online TA,TA/TO,F               ,F               ,0,No Deposit     ,Transient,0
0,0,BB       ,USA,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
0,21,BB       ,GBR,Online TA,TA/TO,H               ,H               ,0,No Deposit     ,Transient,0
1,118,BB       ,IRL,Online TA,TA/TO,H               ,H               ,0,No Deposit     ,Transient,0
1,385,BB       ,PRT,Groups,Direct,A               ,A               ,0,Non Refund     ,Transient,0
0,31,BB       ,PRT,Corporate,Corporate,A               ,A               ,2,No Deposit     ,Transient-Party,0
1,125,BB       ,CN,Online TA,TA/TO,A               ,B               ,1,No Deposit     ,Transient,0
0,10,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,30,Undefined,ESP,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,1,BB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,1
1,26,BB       ,ESP,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,179,BB       ,USA,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
1,143,FB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,365,HB       ,PRT,Online TA,TA/TO,G               ,G               ,2,No Deposit     ,Transient,0
0,1,HB       ,PRT,Direct,Direct,A               ,D               ,0,No Deposit     ,Transient,0
0,141,HB       ,PRT,Online TA,TA/TO,E               ,E               ,1,No Deposit     ,Transient,1
0,255,BB       ,IRL,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,5,BB       ,GBR,Groups,Direct,A               ,A               ,3,No Deposit     ,Transient-Party,0
1,319,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,14,BB       ,ESP,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,7,BB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,1
0,1,BB       ,PRT,Corporate,Corporate,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,44,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,185,HB       ,PRT,Groups,TA/TO,A               ,C               ,0,No Deposit     ,Transient-Party,0
0,24,BB       ,ESP,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
0,74,BB       ,IRL,Groups,TA/TO,A               ,A               ,2,No Deposit     ,Transient-Party,0
0,20,BB       ,PRT,Direct,Direct,F               ,G               ,1,No Deposit     ,Transient,0
0,234,Undefined,SWE,Groups,TA/TO,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,63,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Contract,0
0,6,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,69,BB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient-Party,0
0,0,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient-Party,1
0,4,BB       ,PRT,Corporate,Corporate,A               ,D               ,0,No Deposit     ,Transient,0
0,251,HB       ,CN,Groups,TA/TO,D               ,E               ,0,No Deposit     ,Transient-Party,0
0,0,BB       ,GBR,Direct,Direct,A               ,A               ,2,No Deposit     ,Transient,0
0,40,HB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Online TA,TA/TO,D               ,D               ,1,No Deposit     ,Transient,1
0,45,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
1,242,HB       ,PRT,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,245,BB       ,IRL,Direct,Direct,D               ,E               ,0,No Deposit     ,Transient-Party,0
0,50,BB       ,GBR,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,7,BB       ,PRT,Direct,Direct,A               ,C               ,0,No Deposit     ,Transient,0
0,0,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
0,34,BB       ,CN,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,1
0,302,HB       ,GBR,Groups,Direct,A               ,A               ,1,No Deposit     ,Transient-Party,0
0,79,HB       ,GBR,Offline TA/TO,TA/TO,E               ,E               ,0,No Deposit     ,Transient,1
1,55,HB       ,CHE,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,108,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,386,BB       ,GBR,Groups,Corporate,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,3,BB       ,PRT,Direct,Direct,D               ,D               ,1,No Deposit     ,Transient,1
1,205,HB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
1,315,BB       ,PRT,Groups,Direct,E               ,E               ,0,No Deposit     ,Transient-Party,0
0,26,BB       ,AUT,Corporate,Corporate,E               ,E               ,3,No Deposit     ,Group,0
1,29,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,44,BB       ,GBR,Offline TA/TO,TA/TO,A               ,C               ,0,No Deposit     ,Transient,0
0,542,HB       ,GBR,Groups,TA/TO,A               ,A               ,1,No Deposit     ,Transient-Party,0
0,113,HB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,154,BB       ,PRT,Groups,Direct,A               ,A               ,0,No Deposit     ,Transient,0
0,237,HB       ,PRT,Direct,Direct,C               ,C               ,1,No Deposit     ,Transient,0
1,308,HB       ,PRT,Online TA,TA/TO,A               ,A               ,1,No Deposit     ,Transient,0
0,1,BB       ,PRT,Direct,Direct,H               ,H               ,0,No Deposit     ,Transient,0
0,31,HB       ,PRT,Groups,Direct,E               ,E               ,0,No Deposit     ,Transient-Party,0
0,0,BB       ,PRT,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient,1
1,247,FB       ,ESP,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,36,BB       ,AUT,Corporate,Corporate,A               ,A               ,2,No Deposit     ,Transient-Party,1
0,282,BB       ,IRL,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient-Party,0
0,3,BB       ,BEL,Complementary,Direct,A               ,F               ,0,No Deposit     ,Transient,0
0,25,BB       ,GBR,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient,0
0,195,HB       ,IRL,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,25,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,20,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,1
0,221,HB       ,FRA,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
1,78,HB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,8,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,0,BB       ,IRL,Direct,Direct,D               ,D               ,1,No Deposit     ,Transient,0
1,108,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,26,BB       ,PRT,Offline TA/TO,TA/TO,A               ,E               ,0,No Deposit     ,Transient,0
0,51,BB       ,ESP,Offline TA/TO,TA/TO,F               ,F               ,1,No Deposit     ,Transient,0
0,9,BB       ,ESP,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,1
1,0,BB       ,PRT,Direct,Direct,C               ,C               ,0,No Deposit     ,Transient,0
0,2,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,164,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
0,23,BB       ,ESP,Offline TA/TO,TA/TO,D               ,E               ,0,No Deposit     ,Contract,0
1,139,HB       ,PRT,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,30,BB       ,GBR,Groups,Corporate,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,109,BB       ,PRT,Offline TA/TO,TA/TO,F               ,F               ,0,No Deposit     ,Transient,0
0,74,BB       ,PRT,Direct,Direct,F               ,F               ,1,No Deposit     ,Transient,0
0,0,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,31,SC       ,PRT,Groups,Direct,E               ,I               ,3,No Deposit     ,Transient-Party,0
0,157,BB       ,NOR,Online TA,TA/TO,A               ,A               ,2,No Deposit     ,Transient,0
0,0,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,1
1,41,BB       ,FRA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,97,BB       ,GBR,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Contract,0
0,3,BB       ,PRT,Direct,Direct,F               ,F               ,0,No Deposit     ,Transient,1
1,160,BB       ,PRT,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Contract,0
1,309,BB       ,ITA,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,4,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
1,121,HB       ,GBR,Groups,Direct,D               ,D               ,0,Non Refund     ,Transient,0
0,274,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,114,HB       ,IRL,Online TA,TA/TO,F               ,F               ,0,No Deposit     ,Transient,0
1,211,BB       ,PRT,Groups,TA/TO,A               ,A               ,0,Non Refund     ,Transient,0
0,77,BB       ,IRL,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient,0
1,80,BB       ,GBR,Online TA,TA/TO,C               ,C               ,0,No Deposit     ,Transient,0
0,31,BB       ,GBR,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,406,BB       ,GBR,Offline TA/TO,TA/TO,E               ,E               ,0,No Deposit     ,Contract,1
1,152,BB       ,FRA,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,18,BB       ,USA,Online TA,TA/TO,D               ,D               ,1,No Deposit     ,Transient,1
1,236,BB       ,PRT,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
1,214,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,84,BB       ,ITA,Direct,Direct,E               ,E               ,0,No Deposit     ,Transient-Party,0
0,130,BB       ,GBR,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,1,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,5,HB       ,PRT,Offline TA/TO,TA/TO,C               ,C               ,1,No Deposit     ,Transient,0
0,4,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
1,39,BB       ,ESP,Online TA,TA/TO,E               ,E               ,0,No Deposit     ,Transient,0
0,0,BB       ,ESP,Direct,Direct,C               ,C               ,0,No Deposit     ,Transient,1
0,309,BB       ,GBR,Offline TA/TO,TA/TO,A               ,D               ,2,No Deposit     ,Contract,0
0,37,BB       ,GBR,Corporate,Corporate,E               ,E               ,1,No Deposit     ,Transient-Party,1
1,18,BB       ,PRT,Offline TA/TO,TA/TO,E               ,E               ,0,No Deposit     ,Group,0
0,105,Undefined,ESP,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,50,HB       ,ESP,Direct,Direct,F               ,F               ,1,No Deposit     ,Transient,0
0,3,BB       ,BRA,Online TA,TA/TO,F               ,F               ,0,No Deposit     ,Transient,1
0,8,BB       ,PRT,Corporate,Corporate,A               ,C               ,1,No Deposit     ,Transient-Party,0
0,256,HB       ,ROU,Offline TA/TO,TA/TO,A               ,A               ,2,No Deposit     ,Transient,1
0,78,BB       ,PRT,Corporate,Corporate,A               ,D               ,0,No Deposit     ,Transient-Party,0
0,56,HB       ,ESP,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,1
0,72,HB       ,PRT,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,74,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
1,16,BB       ,PRT,Groups,Corporate,A               ,A               ,5,No Deposit     ,Transient-Party,0
0,208,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,245,HB       ,CN,Groups,TA/TO,A               ,C               ,0,No Deposit     ,Transient-Party,0
0,1,BB       ,PRT,Online TA,TA/TO,A               ,D               ,0,No Deposit     ,Transient,0
0,197,HB       ,DEU,Groups,TA/TO,A               ,A               ,1,No Deposit     ,Transient-Party,0
0,29,BB       ,GBR,Offline TA/TO,TA/TO,D               ,D               ,0,No Deposit     ,Contract,1
1,83,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
1,38,BB       ,PRT,Corporate,Corporate,A               ,A               ,3,No Deposit     ,Transient-Party,0
1,11,BB       ,GBR,Online TA,TA/TO,G               ,G               ,0,No Deposit     ,Transient,0
0,11,BB       ,GBR,Offline TA/TO,TA/TO,C               ,C               ,0,No Deposit     ,Transient,0
1,100,BB       ,GBR,Online TA,TA/TO,G               ,G               ,1,No Deposit     ,Transient,0
0,152,BB       ,ARG,Offline TA/TO,TA/TO,A               ,A               ,0,No Deposit     ,Transient,1
1,185,HB       ,PRT,Groups,TA/TO,A               ,A               ,0,No Deposit     ,Transient-Party,0
0,3,BB       ,PRT,Online TA,TA/TO,A               ,A               ,0,No Deposit     ,Transient,0
0,21,BB       ,GBR,Online TA,TA/TO,F               ,F               ,0,No Deposit     ,Transient,0
0,345,BB       ,GBR,Offline TA/TO,TA/TO,A               ,C               ,1,No Deposit     ,Transient,1
0,9,BB       ,PRT,Direct,Direct,D               ,D               ,0,No Deposit     ,Transient-Party,0
1,262,BB       ,PRT,Online TA,TA/TO,D               ,D               ,0,No Deposit     ,Transient,0
0,285,BB       ,IRL,Groups,TA/TO,A               ,A               ,1,No Deposit     ,Transient-Party,0
0,49,BB       ,ESP,Online TA,TA/TO,G               ,G               ,1,No Deposit     ,Transient,0
0,0,BB       ,PRT,Direct,Direct,A               ,A               ,0,No Deposit     ,Transient,0
0,6,Undefined,ESP,Groups,TA/TO,A               ,C               ,0,No Deposit     ,Transient-Party,0
0,25,HB       ,DEU,Groups,TA/TO,A               ,A               ,1,Non Refund     ,Transient-Party,0
0,254,BB       ,CN,Groups,TA/TO,A               ,A               ,1,No Deposit     ,Transient-Party,0
