FullDate,IsCanceled
20170109,10
20170110,13
20170111,7
20170112,42
20170113,30
20170114,131
20170115,18
20170116,21
20170117,5
20170118,83
20170119,28
20170120,23
20170121,35
20170122,16
20170123,98
20170124,18
20170125,97
20170126,28
20170127,21
20170128,15
20170129,11
20170130,18
20170131,7
20170201,91
20170202,34
20170203,30
20170204,20
20170205,15
20170206,14
20170207,11
20170208,3
20170209,43
20170210,38
20170211,24
20170212,90
20170213,33
20170214,41
20170215,22
20170216,36
20170217,61
20170218,12
20170219,17
20170220,53
20170221,16
20170222,14
20170223,51
20170224,32
20170225,94
20170226,41
20170227,26
20170228,9
20170301,15
20170302,155
20170303,34
20170304,21
20170305,25
20170306,27
20170307,26
20170308,21
20170309,50
20170310,37
20170311,43
20170312,27
20170313,73
20170314,33
20170315,103
20170316,54
20170317,44
20170318,19
20170319,17
20170320,28
20170321,82
20170322,25
20170323,54
20170324,36
20170325,41
20170326,25
20170327,19
20170328,11
20170329,16
20170330,46
20170331,71
20170401,38
20170402,13
20170403,65
20170404,59
20170405,79
20170406,123
20170407,38
20170408,55
20170409,91
20170410,47
20170411,23
20170412,35
20170413,75
20170414,65
20170415,111
20170416,55
20170417,38
20170418,36
20170419,29
20170420,51
20170421,115
20170422,93
20170423,51
20170424,30
20170425,23
20170426,191
20170427,80
20170428,85
20170429,108
20170430,24
20170501,75
20170502,30
20170503,90
20170504,116
20170505,94
20170506,103
20170507,38
20170508,71
20170509,50
20170510,57
20170511,64
20170512,47
20170513,58
20170514,21
20170515,190
20170516,41
20170517,32
20170518,50
20170519,214
20170520,118
20170521,36
20170522,62
20170523,33
20170524,101
20170525,74
20170526,65
20170527,36
20170528,59
20170529,23
20170530,125
20170531,44
20170601,79
20170602,80
20170603,53
20170604,38
20170605,40
20170606,35
20170607,52
20170608,189
20170609,77
20170610,25
20170611,61
20170612,56
20170613,24
20170614,44
20170615,50
20170616,62
20170617,110
20170618,32
20170619,57
20170620,51
20170621,69
20170622,37
20170623,82
20170624,46
20170625,16
20170626,57
20170627,80
20170628,97
20170629,56
20170630,53
20170701,32
20170702,31
20170703,34
20170704,32
20170705,53
20170706,49
20170707,69
20170708,30
20170709,67
20170710,46
20170711,45
20170712,50
20170713,41
20170714,27
20170715,75
20170716,29
20170717,47
20170718,33
20170719,13
20170720,29
20170721,29
20170722,42
20170723,50
20170724,42
20170725,35
20170726,57
20170727,40
20170728,60
20170729,67
20170730,28
20170731,42
20170801,49
20170802,33
20170803,44
20170804,28
20170805,29
20170806,26
20170807,37
20170808,44
20170809,41
20170810,43
20170811,34
20170812,44
20170813,32
20170814,34
20170815,42
20170816,75
20170817,44
20170818,58
20170819,56
20170820,23
20170821,31
20170822,19
20170823,26
20170824,30
20170825,34
20170826,38
20170827,28
20170828,27
20170829,30
20170830,13
20170831,31
