IsCanceled,LeadTime,MarketSegment,DistributionChannel,CustomerType,RequiredCarParkingSpaces
0,39,Online TA,TA/TO,Transient,0
0,90,Online TA,TA/TO,Transient,0
1,34,Online TA,TA/TO,Transient,0
1,93,Offline TA/TO,TA/TO,Transient,0
0,97,Direct,Direct,Transient,1
0,29,Online TA,TA/TO,Transient,0
1,101,Online TA,TA/TO,Transient,0
0,27,Offline TA/TO,TA/TO,Transient,0
0,8,Online TA,TA/TO,Transient,1
0,82,Offline TA/TO,TA/TO,Transient,1
0,94,Direct,Direct,Transient,1
0,110,Offline TA/TO,TA/TO,Contract,0
0,96,Offline TA/TO,TA/TO,Contract,0
0,79,Offline TA/TO,TA/TO,Contract,0
0,115,Online TA,TA/TO,Transient,0
0,111,Online TA,TA/TO,Transient,0
0,51,Online TA,TA/TO,Transient,1
0,94,Offline TA/TO,TA/TO,Transient,0
0,81,Direct,Direct,Transient,1
0,84,Online TA,TA/TO,Transient,0
0,51,Online TA,TA/TO,Transient,0
0,111,Online TA,TA/TO,Transient,0
0,0,Direct,Direct,Transient,0
0,2,Direct,Direct,Transient,0
0,7,Online TA,TA/TO,Transient,0
0,98,Online TA,TA/TO,Transient,1
0,95,Online TA,TA/TO,Transient,0
1,48,Online TA,TA/TO,Transient,0
0,66,Offline TA/TO,TA/TO,Transient,0
0,104,Online TA,TA/TO,Transient,0
0,28,Online TA,TA/TO,Transient,0
0,34,Direct,Direct,Transient,1
0,98,Online TA,TA/TO,Transient,1
0,104,Online TA,TA/TO,Transient,0
0,68,Online TA,TA/TO,Transient,0
1,86,Offline TA/TO,TA/TO,Transient,0
0,258,Offline TA/TO,TA/TO,Contract,0
0,111,Online TA,TA/TO,Transient,0
1,94,Online TA,TA/TO,Transient,0
0,112,Offline TA/TO,TA/TO,Transient,0
0,100,Offline TA/TO,TA/TO,Transient,0
0,33,Direct,Direct,Transient,0
0,97,Offline TA/TO,TA/TO,Contract,0
0,80,Direct,Direct,Transient,0
0,90,Offline TA/TO,TA/TO,Contract,0
0,111,Offline TA/TO,TA/TO,Contract,0
0,65,Offline TA/TO,TA/TO,Transient,0
1,67,Online TA,TA/TO,Transient,0
0,55,Online TA,TA/TO,Transient,1
0,21,Direct,Direct,Transient,0
0,8,Direct,Direct,Transient,0
0,8,Online TA,TA/TO,Transient,0
0,0,Online TA,TA/TO,Transient,0
0,0,Direct,Direct,Transient,1
0,0,Online TA,TA/TO,Transient,0
0,8,Online TA,TA/TO,Transient,0
0,66,Online TA,TA/TO,Transient,0
0,88,Offline TA/TO,TA/TO,Transient,0
0,0,Direct,Direct,Transient,0
1,43,Offline TA/TO,TA/TO,Transient,0
1,88,Online TA,TA/TO,Transient,0
0,54,Offline TA/TO,TA/TO,Transient,0
1,292,Offline TA/TO,TA/TO,Contract,0
0,112,Offline TA/TO,TA/TO,Contract,0
0,68,Online TA,TA/TO,Transient,0
0,7,Online TA,TA/TO,Transient,1
0,1,Online TA,TA/TO,Transient,1
1,113,Online TA,TA/TO,Transient,0
0,5,Online TA,TA/TO,Transient,0
0,83,Offline TA/TO,TA/TO,Transient,0
1,105,Online TA,TA/TO,Transient,0
0,0,Offline TA/TO,TA/TO,Transient,0
1,1,Corporate,Corporate,Transient,0
1,1,Corporate,Corporate,Transient,0
0,1,Corporate,Corporate,Transient,1
1,102,Direct,Direct,Transient,0
0,113,Direct,Direct,Transient,1
1,280,Offline TA/TO,TA/TO,Contract,0
0,96,Online TA,TA/TO,Transient,0
0,394,Offline TA/TO,TA/TO,Contract,0
0,33,Online TA,TA/TO,Transient,0
0,82,Direct,Direct,Transient,0
0,100,Online TA,TA/TO,Transient-Party,0
0,100,Online TA,TA/TO,Transient-Party,0
0,17,Online TA,TA/TO,Transient,0
0,68,Direct,Direct,Transient,1
0,12,Direct,Direct,Transient,1
1,77,Direct,Direct,Transient,0
1,24,Online TA,TA/TO,Transient,0
1,44,Online TA,TA/TO,Transient,0
0,78,Online TA,TA/TO,Transient,0
1,17,Online TA,TA/TO,Transient,0
1,103,Online TA,TA/TO,Transient,0
0,16,Direct,Direct,Transient,0
0,14,Online TA,TA/TO,Transient,1
0,77,Offline TA/TO,TA/TO,Transient,0
0,90,Offline TA/TO,TA/TO,Transient,0
0,90,Offline TA/TO,TA/TO,Contract,0
0,90,Offline TA/TO,TA/TO,Contract,0
0,366,Offline TA/TO,TA/TO,Contract,0
0,249,Online TA,TA/TO,Transient,0
1,69,Online TA,TA/TO,Transient,0
0,10,Direct,Direct,Transient,0
0,22,Online TA,TA/TO,Transient,0
0,91,Online TA,TA/TO,Transient,0
0,23,Online TA,TA/TO,Transient,0
0,11,Online TA,TA/TO,Transient,0
0,3,Online TA,TA/TO,Transient,0
0,13,Online TA,TA/TO,Transient,1
0,108,Online TA,TA/TO,Transient,0
0,91,Online TA,TA/TO,Transient,0
0,37,Online TA,TA/TO,Transient,0
0,21,Direct,Direct,Transient,0
0,106,Online TA,TA/TO,Transient,0
0,30,Direct,Direct,Transient-Party,0
0,30,Direct,Direct,Transient-Party,0
1,51,Online TA,TA/TO,Transient,0
0,79,Online TA,TA/TO,Transient,0
0,21,Direct,Direct,Transient,1
0,35,Online TA,TA/TO,Transient,0
0,78,Online TA,TA/TO,Transient,1
0,31,Direct,Direct,Transient,1
0,78,Online TA,TA/TO,Transient,0
0,78,Online TA,TA/TO,Transient,1
0,44,Offline TA/TO,TA/TO,Transient,0
0,34,Online TA,TA/TO,Transient,0
0,87,Offline TA/TO,TA/TO,Transient,0
0,11,Direct,Direct,Transient,1
0,115,Online TA,TA/TO,Transient,0
0,86,Online TA,TA/TO,Transient,0
0,41,Online TA,TA/TO,Transient,0
0,32,Online TA,TA/TO,Transient,0
0,34,Online TA,TA/TO,Transient,0
0,34,Online TA,TA/TO,Transient,0
1,100,Offline TA/TO,TA/TO,Transient,0
0,44,Online TA,TA/TO,Transient,0
0,304,Direct,TA/TO,Transient,0
1,36,Online TA,TA/TO,Transient,0
0,117,Offline TA/TO,TA/TO,Transient,0
0,70,Online TA,TA/TO,Transient,1
0,110,Direct,Direct,Transient,0
1,109,Online TA,TA/TO,Transient,0
0,33,Online TA,TA/TO,Transient,0
0,33,Online TA,TA/TO,Transient,0
0,33,Online TA,TA/TO,Transient,0
0,0,Direct,Direct,Transient,0
0,0,Online TA,TA/TO,Transient,0
0,0,Direct,Direct,Transient,0
0,0,Online TA,TA/TO,Transient,0
0,84,Corporate,Corporate,Transient,1
0,71,Offline TA/TO,TA/TO,Transient,0
0,16,Online TA,TA/TO,Transient,0
0,54,Online TA,TA/TO,Transient,0
0,8,Online TA,TA/TO,Transient,0
0,36,Offline TA/TO,TA/TO,Transient,1
0,40,Online TA,TA/TO,Transient,0
1,59,Online TA,TA/TO,Transient,0
0,79,Direct,Direct,Transient,0
0,32,Online TA,TA/TO,Transient,1
0,110,Direct,Direct,Transient,0
0,33,Online TA,TA/TO,Transient,1
0,53,Online TA,TA/TO,Transient,1
0,2,Online TA,TA/TO,Transient,1
0,8,Online TA,TA/TO,Transient,1
1,72,Online TA,TA/TO,Transient,0
0,12,Online TA,TA/TO,Transient,0
0,48,Offline TA/TO,TA/TO,Transient,0
0,90,Offline TA/TO,TA/TO,Transient-Party,0
0,34,Offline TA/TO,TA/TO,Transient,0
1,58,Direct,Direct,Transient,0
0,59,Offline TA/TO,TA/TO,Contract,0
0,90,Offline TA/TO,TA/TO,Transient-Party,1
0,116,Offline TA/TO,TA/TO,Contract,0
0,31,Offline TA/TO,TA/TO,Transient,0
1,51,Online TA,TA/TO,Transient,0
0,48,Offline TA/TO,TA/TO,Transient,0
0,59,Online TA,TA/TO,Transient,1
1,97,Online TA,TA/TO,Transient,0
0,12,Online TA,TA/TO,Transient,1
0,64,Online TA,TA/TO,Transient,0
0,31,Offline TA/TO,TA/TO,Transient,0
0,59,Offline TA/TO,TA/TO,Contract,1
1,55,Offline TA/TO,TA/TO,Contract,0
0,81,Offline TA/TO,TA/TO,Transient,0
0,1,Online TA,TA/TO,Transient,0
0,34,Online TA,TA/TO,Transient,0
0,13,Online TA,TA/TO,Transient,0
0,40,Online TA,TA/TO,Transient,0
0,1,Online TA,TA/TO,Transient,0
0,34,Online TA,TA/TO,Transient,0
0,88,Offline TA/TO,TA/TO,Contract,0
0,9,Online TA,TA/TO,Transient,0
1,24,Online TA,TA/TO,Transient,0
0,97,Offline TA/TO,TA/TO,Transient,0
0,60,Online TA,TA/TO,Transient,0
0,100,Direct,Direct,Transient,1
0,50,Offline TA/TO,TA/TO,Contract,0
1,47,Online TA,TA/TO,Transient,0
0,8,Online TA,TA/TO,Transient,0
0,34,Online TA,TA/TO,Transient,1
0,47,Online TA,TA/TO,Transient,0
0,115,Offline TA/TO,TA/TO,Transient-Party,0
1,79,Online TA,TA/TO,Transient,0
0,91,Online TA,TA/TO,Transient,0
0,98,Online TA,TA/TO,Transient-Party,0
0,109,Online TA,TA/TO,Transient,0
0,0,Online TA,TA/TO,Transient,1
0,98,Online TA,TA/TO,Transient-Party,0
0,0,Direct,Direct,Transient,0
0,9,Online TA,TA/TO,Transient,1
0,62,Online TA,TA/TO,Transient,0
1,45,Online TA,TA/TO,Transient,0
0,42,Online TA,TA/TO,Transient,1
0,54,Online TA,TA/TO,Transient,1
0,51,Online TA,TA/TO,Transient,1
0,54,Online TA,TA/TO,Transient,0
0,58,Direct,Direct,Transient,1
0,0,Corporate,Corporate,Transient,0
1,60,Offline TA/TO,TA/TO,Transient,0
1,321,Direct,TA/TO,Transient,0
0,40,Direct,Direct,Transient,0
1,51,Offline TA/TO,TA/TO,Contract,0
0,38,Direct,Direct,Transient,0
1,75,Online TA,TA/TO,Transient,0
0,101,Online TA,TA/TO,Transient,0
1,42,Online TA,TA/TO,Transient,0
0,40,Direct,Direct,Transient,0
0,109,Direct,Direct,Transient,0
1,81,Online TA,TA/TO,Transient,0
1,98,Online TA,TA/TO,Transient,0
0,32,Offline TA/TO,TA/TO,Transient,0
0,72,Online TA,TA/TO,Transient,0
0,115,Offline TA/TO,TA/TO,Transient-Party,0
0,118,Direct,Direct,Transient,0
0,81,Direct,Direct,Transient,0
1,95,Online TA,TA/TO,Transient,0
0,16,Online TA,TA/TO,Transient,1
0,56,Online TA,TA/TO,Transient,1
0,88,Offline TA/TO,TA/TO,Contract,0
0,41,Online TA,TA/TO,Transient,0
1,40,Offline TA/TO,TA/TO,Transient,0
0,1,Corporate,Corporate,Transient,0
0,1,Online TA,TA/TO,Transient,0
0,1,Online TA,TA/TO,Transient,1
1,76,Online TA,TA/TO,Transient,0
0,0,Online TA,TA/TO,Transient,0
0,49,Online TA,TA/TO,Transient,0
0,76,Direct,Direct,Transient,0
0,73,Direct,Direct,Transient-Party,0
0,73,Direct,Direct,Transient-Party,0
0,317,Direct,TA/TO,Transient,1
1,112,Online TA,TA/TO,Transient,0
0,6,Online TA,TA/TO,Transient,1
0,8,Online TA,TA/TO,Transient,0
1,96,Offline TA/TO,TA/TO,Transient,0
1,96,Online TA,TA/TO,Transient,0
0,99,Direct,Direct,Transient,0
0,66,Online TA,TA/TO,Transient,0
0,38,Online TA,TA/TO,Transient,0
0,38,Online TA,TA/TO,Transient,0
0,113,Direct,Direct,Transient,1
0,0,Corporate,Corporate,Transient,0
1,62,Offline TA/TO,TA/TO,Transient,0
1,39,Online TA,TA/TO,Transient,0
0,37,Online TA,TA/TO,Transient,0
1,58,Online TA,TA/TO,Transient,0
0,37,Online TA,TA/TO,Transient,1
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient,0
0,83,Online TA,TA/TO,Transient,0
0,57,Groups,Direct,Transient,0
0,57,Groups,Direct,Transient-Party,0
1,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient,0
0,57,Groups,Direct,Transient,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient,0
0,57,Groups,Direct,Transient,0
0,57,Groups,Direct,Transient-Party,0
0,57,Groups,Direct,Transient-Party,0
1,66,Online TA,TA/TO,Transient,0
0,13,Online TA,TA/TO,Transient,0
0,50,Online TA,TA/TO,Transient,0
1,48,Direct,Direct,Transient,0
1,0,Online TA,TA/TO,Transient,0
0,7,Online TA,TA/TO,Transient,1
0,0,Direct,Direct,Transient,1
1,66,Online TA,TA/TO,Transient,0
0,13,Online TA,TA/TO,Transient,0
0,66,Online TA,TA/TO,Transient,0
0,10,Direct,Direct,Transient,1
1,10,Direct,Direct,Transient,0
1,58,Online TA,TA/TO,Transient,0
1,17,Online TA,TA/TO,Transient,0
0,19,Online TA,TA/TO,Transient,0
0,10,Direct,Direct,Transient-Party,0
1,12,Direct,Direct,Transient,0
0,10,Direct,Direct,Transient-Party,0
0,63,Online TA,TA/TO,Transient,0
1,35,Online TA,TA/TO,Transient,0
0,113,Online TA,TA/TO,Transient,0
1,35,Online TA,TA/TO,Transient,0
0,68,Offline TA/TO,TA/TO,Contract,0
0,113,Offline TA/TO,TA/TO,Transient,0
0,21,Direct,Direct,Transient,0
0,6,Online TA,TA/TO,Transient,0
0,7,Direct,Direct,Transient,0
0,17,Online TA,TA/TO,Transient,0
0,1,Online TA,TA/TO,Transient,0
0,2,Offline TA/TO,TA/TO,Transient,0
1,15,Online TA,TA/TO,Transient,0
1,7,Direct,Direct,Transient,0
0,11,Online TA,TA/TO,Transient,1
1,6,Online TA,TA/TO,Transient,0
0,1,Direct,Direct,Transient,0
0,1,Direct,Direct,Transient,0
0,48,Offline TA/TO,TA/TO,Transient,0
0,15,Online TA,TA/TO,Transient,0
1,3,Offline TA/TO,TA/TO,Transient,0
1,23,Online TA,TA/TO,Transient,0
0,53,Offline TA/TO,TA/TO,Transient-Party,0
0,53,Offline TA/TO,TA/TO,Transient-Party,1
0,94,Direct,Direct,Transient,0
0,64,Offline TA/TO,TA/TO,Transient-Party,0
0,53,Offline TA/TO,TA/TO,Transient-Party,0
0,53,Offline TA/TO,TA/TO,Transient-Party,1
0,64,Offline TA/TO,TA/TO,Transient-Party,0
0,53,Offline TA/TO,TA/TO,Transient-Party,1
0,24,Direct,Direct,Transient,0
0,24,Online TA,TA/TO,Transient,0
0,23,Direct,Direct,Transient,0
0,53,Online TA,TA/TO,Transient,0
1,23,Direct,Direct,Transient,0
0,90,Online TA,TA/TO,Transient,0
0,79,Online TA,TA/TO,Transient,0
0,43,Offline TA/TO,TA/TO,Transient,0
0,90,Online TA,TA/TO,Transient,0
0,65,Online TA,TA/TO,Transient,0
0,65,Online TA,TA/TO,Transient,1
0,99,Direct,Direct,Transient,0
0,25,Direct,Direct,Transient,0
0,92,Online TA,TA/TO,Transient,1
0,91,Online TA,TA/TO,Transient,0
0,38,Online TA,TA/TO,Transient,0
0,6,Offline TA/TO,TA/TO,Contract,0
0,38,Online TA,TA/TO,Transient,0
0,13,Online TA,TA/TO,Transient,0
1,32,Online TA,TA/TO,Transient,0
0,315,Offline TA/TO,TA/TO,Transient,0
0,8,Online TA,TA/TO,Transient,0
1,0,Direct,Direct,Transient,0
0,91,Online TA,TA/TO,Transient,0
0,3,Online TA,TA/TO,Transient,1
0,9,Direct,Direct,Transient,0
0,19,Online TA,TA/TO,Transient,0
0,25,Direct,Direct,Transient,0
0,108,Online TA,TA/TO,Transient,1
1,37,Online TA,TA/TO,Transient,0
0,45,Online TA,TA/TO,Transient,0
0,64,Direct,Direct,Transient,1
0,44,Direct,Direct,Transient,0
0,26,Online TA,TA/TO,Transient,1
1,96,Online TA,TA/TO,Transient,0
1,123,Online TA,TA/TO,Transient,0
1,42,Online TA,TA/TO,Transient,0
0,59,Offline TA/TO,TA/TO,Contract,0
0,28,Online TA,TA/TO,Transient,0
0,106,Direct,Direct,Transient,0
0,1,Direct,Direct,Transient,0
0,0,Direct,Direct,Transient,0
0,4,Online TA,TA/TO,Transient,0
0,3,Direct,Direct,Transient,0
0,73,Direct,Direct,Transient,0
0,44,Online TA,TA/TO,Transient,1
0,95,Offline TA/TO,TA/TO,Transient,1
0,94,Direct,Direct,Transient,0
1,40,Offline TA/TO,TA/TO,Transient,0
0,64,Direct,Direct,Transient,0
0,64,Direct,Direct,Transient,0
0,94,Direct,Direct,Transient,0
0,57,Offline TA/TO,TA/TO,Transient,0
1,60,Online TA,TA/TO,Transient,0
0,57,Offline TA/TO,TA/TO,Transient,0
0,87,Online TA,TA/TO,Transient,0
0,0,Direct,Direct,Transient,0
0,0,Online TA,TA/TO,Group,1
0,6,Direct,Direct,Transient,0
0,0,Online TA,TA/TO,Group,0
0,19,Online TA,TA/TO,Transient,1
0,4,Online TA,TA/TO,Transient,1
1,59,Online TA,TA/TO,Transient,0
0,44,Direct,Direct,Transient,0
1,37,Online TA,TA/TO,Transient,0
0,66,Direct,Direct,Transient,0
1,38,Offline TA/TO,TA/TO,Transient,0
1,62,Offline TA/TO,TA/TO,Transient,0
0,41,Online TA,TA/TO,Transient,0
1,60,Online TA,TA/TO,Transient,0
0,104,Offline TA/TO,TA/TO,Contract,0
1,62,Offline TA/TO,TA/TO,Transient,0
0,117,Online TA,TA/TO,Transient,0
1,31,Online TA,TA/TO,Transient,0
0,34,Offline TA/TO,TA/TO,Transient,0
0,47,Online TA,TA/TO,Transient,0
1,24,Online TA,TA/TO,Transient,0
1,104,Online TA,TA/TO,Transient,0
0,104,Offline TA/TO,TA/TO,Contract,0
0,32,Offline TA/TO,TA/TO,Transient,0
1,47,Online TA,TA/TO,Transient,0
0,29,Offline TA/TO,TA/TO,Contract,0
0,30,Offline TA/TO,TA/TO,Transient,0
0,123,Online TA,TA/TO,Transient,0
0,14,Offline TA/TO,TA/TO,Transient,0
1,118,Online TA,TA/TO,Transient,0
0,0,Offline TA/TO,TA/TO,Transient,0
0,0,Online TA,TA/TO,Transient,0
0,79,Online TA,TA/TO,Transient,0
0,63,Online TA,TA/TO,Transient,0
0,68,Online TA,TA/TO,Transient,1
0,96,Direct,Direct,Transient,1
1,41,Online TA,TA/TO,Transient,0
0,46,Online TA,TA/TO,Transient,0
1,41,Online TA,TA/TO,Transient,0
1,60,Online TA,TA/TO,Transient,0
0,41,Offline TA/TO,TA/TO,Transient,0
1,69,Online TA,TA/TO,Transient,0
1,41,Online TA,TA/TO,Transient,0
0,52,Direct,Direct,Transient,0
1,41,Online TA,TA/TO,Transient,0
0,89,Offline TA/TO,TA/TO,Transient,0
1,28,Direct,Direct,Transient,0
0,65,Online TA,TA/TO,Transient,0
0,82,Online TA,TA/TO,Transient,0
0,42,Offline TA/TO,TA/TO,Transient,0
0,62,Online TA,TA/TO,Transient,0
1,86,Direct,Direct,Transient,0
1,118,Online TA,TA/TO,Transient,0
0,28,Offline TA/TO,TA/TO,Transient,0
1,52,Offline TA/TO,TA/TO,Transient,0
1,49,Offline TA/TO,TA/TO,Transient,0
0,39,Offline TA/TO,TA/TO,Transient,0
0,39,Offline TA/TO,TA/TO,Transient,0
0,39,Offline TA/TO,TA/TO,Transient,0
1,7,Offline TA/TO,TA/TO,Transient,0
1,7,Offline TA/TO,TA/TO,Transient,0
1,42,Online TA,TA/TO,Transient,0
0,5,Corporate,Corporate,Transient,0
1,81,Online TA,TA/TO,Transient,0
1,63,Online TA,TA/TO,Transient,0
0,61,Online TA,TA/TO,Transient,0
0,8,Direct,Direct,Transient,1
0,89,Direct,Direct,Transient,1
0,57,Online TA,TA/TO,Transient,0
0,102,Offline TA/TO,TA/TO,Transient,0
0,108,Online TA,TA/TO,Transient,0
0,28,Direct,Direct,Transient,0
0,29,Online TA,TA/TO,Transient,0
0,0,Direct,Direct,Transient,1
1,96,Online TA,TA/TO,Transient,0
1,44,Online TA,TA/TO,Transient,0
0,44,Online TA,TA/TO,Transient,0
1,44,Online TA,TA/TO,Transient,0
1,44,Online TA,TA/TO,Transient,0
1,41,Online TA,TA/TO,Transient,0
0,16,Online TA,TA/TO,Transient,0
0,73,Online TA,TA/TO,Transient,0
0,3,Online TA,TA/TO,Transient,1
0,0,Direct,Direct,Transient,0
1,55,Direct,Direct,Transient,0
0,33,Online TA,TA/TO,Transient-Party,1
1,19,Online TA,TA/TO,Transient,0
1,55,Online TA,TA/TO,Transient,0
0,33,Online TA,TA/TO,Transient,0
1,19,Online TA,TA/TO,Transient,0
1,19,Direct,Direct,Transient,0
0,117,Offline TA/TO,TA/TO,Transient,1
1,72,Online TA,TA/TO,Transient,0
1,19,Online TA,TA/TO,Transient,0
0,34,Offline TA/TO,TA/TO,Transient,1
0,9,Online TA,TA/TO,Transient-Party,0
0,8,Online TA,TA/TO,Transient-Party,0
1,36,Direct,Direct,Transient,0
0,22,Online TA,TA/TO,Transient-Party,0
0,22,Online TA,TA/TO,Transient-Party,0
0,22,Online TA,TA/TO,Transient-Party,0
0,36,Online TA,TA/TO,Transient,0
0,22,Online TA,TA/TO,Transient-Party,0
1,22,Online TA,TA/TO,Transient,0
0,18,Direct,Direct,Transient,0
0,8,Online TA,TA/TO,Transient-Party,0
1,67,Online TA,TA/TO,Transient,0
1,105,Offline TA/TO,TA/TO,Transient,0
0,1,Online TA,TA/TO,Transient,0
1,67,Online TA,TA/TO,Transient,0
0,39,Offline TA/TO,TA/TO,Transient,0
